Patient_ID	Sample_ID	Iteration	Cluster_ID	Abundance
patient1	patient1_t1	27	5	16
patient1	patient1_t1	27	6	10
patient1	patient1_t1	28	1	0
patient1	patient1_t1	28	2	0
patient1	patient1_t1	28	3	61
patient1	patient1_t1	28	4	12
patient1	patient1_t1	28	5	19
patient1	patient1_t1	28	6	8
patient1	patient1_t1	29	1	0
patient1	patient1_t1	29	2	0
patient1	patient1_t1	29	3	62
patient1	patient1_t1	29	4	9
patient1	patient1_t1	29	5	18
patient1	patient1_t1	29	6	11
patient1	patient1_t1	30	1	0
patient1	patient1_t1	30	2	0
patient1	patient1_t1	30	3	60
patient1	patient1_t1	30	4	8
patient1	patient1_t1	30	5	21
patient1	patient1_t1	30	6	11
patient1	patient1_t1	31	1	0
patient1	patient1_t1	31	2	0
patient1	patient1_t1	31	3	72
patient1	patient1_t1	31	4	0
patient1	patient1_t1	31	5	19
patient1	patient1_t1	31	6	9
patient1	patient1_t1	32	1	0
patient1	patient1_t1	32	2	0
patient1	patient1_t1	32	3	68
patient1	patient1_t1	32	4	0
patient1	patient1_t1	32	5	20
patient1	patient1_t1	32	6	12
patient1	patient1_t1	33	1	0
patient1	patient1_t1	33	2	0
patient1	patient1_t1	33	3	74
patient1	patient1_t1	33	4	0
patient1	patient1_t1	33	5	18
patient1	patient1_t1	33	6	8
patient1	patient1_t1	34	1	0
patient1	patient1_t1	34	2	0
patient1	patient1_t1	34	3	74
patient1	patient1_t1	34	4	0
patient1	patient1_t1	34	5	17
patient1	patient1_t1	34	6	9
patient1	patient1_t1	35	1	0
patient1	patient1_t1	35	2	0
patient1	patient1_t1	35	3	56
patient1	patient1_t1	35	4	12
patient1	patient1_t1	35	5	22
patient1	patient1_t1	35	6	10
patient1	patient1_t1	36	1	0
patient1	patient1_t1	36	2	0
patient1	patient1_t1	36	3	63
patient1	patient1_t1	36	4	9
patient1	patient1_t1	36	5	20
patient1	patient1_t1	36	6	8
patient1	patient1_t1	37	1	0
patient1	patient1_t1	37	2	0
patient1	patient1_t1	37	3	62
patient1	patient1_t1	37	4	9
patient1	patient1_t1	37	5	18
patient1	patient1_t1	37	6	11
patient1	patient1_t1	38	1	0
patient1	patient1_t1	38	2	0
patient1	patient1_t1	38	3	71
patient1	patient1_t1	38	4	0
patient1	patient1_t1	38	5	21
patient1	patient1_t1	38	6	8
patient1	patient1_t1	39	1	0
patient1	patient1_t1	39	2	2
patient1	patient1_t1	39	3	69
patient1	patient1_t1	39	4	0
patient1	patient1_t1	39	5	19
patient1	patient1_t1	39	6	10
patient1	patient1_t1	40	1	0
patient1	patient1_t1	40	2	0
patient1	patient1_t1	40	3	62
patient1	patient1_t1	40	4	8
patient1	patient1_t1	40	5	19
patient1	patient1_t1	40	6	11
patient1	patient1_t1	41	1	0
patient1	patient1_t1	41	2	0
patient1	patient1_t1	41	3	60
patient1	patient1_t1	41	4	9
patient1	patient1_t1	41	5	20
patient1	patient1_t1	41	6	11
patient1	patient1_t1	42	1	0
patient1	patient1_t1	42	2	0
patient1	patient1_t1	42	3	60
patient1	patient1_t1	42	4	11
patient1	patient1_t1	42	5	18
patient1	patient1_t1	42	6	11
patient1	patient1_t1	43	1	0
patient1	patient1_t1	43	2	1
patient1	patient1_t1	43	3	65
patient1	patient1_t1	43	4	0
patient1	patient1_t1	43	5	21
patient1	patient1_t1	43	6	13
patient1	patient1_t1	44	1	0
patient1	patient1_t1	44	2	0
patient1	patient1_t1	44	3	70
patient1	patient1_t1	44	4	0
patient1	patient1_t1	44	5	17
patient1	patient1_t1	44	6	13
patient1	patient1_t1	45	1	0
patient1	patient1_t1	45	2	3
patient1	patient1_t1	45	3	65
patient1	patient1_t1	45	4	0
patient1	patient1_t1	45	5	21
patient1	patient1_t1	45	6	11
patient1	patient1_t1	46	1	0
patient1	patient1_t1	46	2	0
patient1	patient1_t1	46	3	67
patient1	patient1_t1	46	4	0
patient1	patient1_t1	46	5	20
patient1	patient1_t1	46	6	13
patient1	patient1_t1	47	1	0
patient1	patient1_t1	47	2	0
patient1	patient1_t1	47	3	61
patient1	patient1_t1	47	4	12
patient1	patient1_t1	47	5	18
patient1	patient1_t1	47	6	9
patient1	patient1_t1	48	1	0
patient1	patient1_t1	48	2	0
patient1	patient1_t1	48	3	57
patient1	patient1_t1	48	4	10
patient1	patient1_t1	48	5	22
patient1	patient1_t1	48	6	11
patient1	patient1_t1	49	1	0
patient1	patient1_t1	49	2	0
patient1	patient1_t1	49	3	64
patient1	patient1_t1	49	4	9
patient1	patient1_t1	49	5	18
patient1	patient1_t1	49	6	9
patient1	patient1_t1	50	1	0
patient1	patient1_t1	50	2	1
patient1	patient1_t1	50	3	67
patient1	patient1_t1	50	4	0
patient1	patient1_t1	50	5	20
patient1	patient1_t1	50	6	12
patient1	patient1_t1	51	1	0
patient1	patient1_t1	51	2	0
patient1	patient1_t1	51	3	67
patient1	patient1_t1	51	4	0
patient1	patient1_t1	51	5	23
patient1	patient1_t1	51	6	10
patient1	patient1_t1	52	1	0
patient1	patient1_t1	52	2	0
patient1	patient1_t1	52	3	57
patient1	patient1_t1	52	4	12
patient1	patient1_t1	52	5	21
patient1	patient1_t1	52	6	10
patient1	patient1_t1	53	1	0
patient1	patient1_t1	53	2	0
patient1	patient1_t1	53	3	57
patient1	patient1_t1	53	4	11
patient1	patient1_t1	53	5	22
patient1	patient1_t1	53	6	10
patient1	patient1_t1	54	1	0
patient1	patient1_t1	54	2	0
patient1	patient1_t1	54	3	61
patient1	patient1_t1	54	4	11
patient1	patient1_t1	54	5	19
patient1	patient1_t1	54	6	9
patient1	patient1_t1	55	1	0
patient1	patient1_t1	55	2	0
patient1	patient1_t1	55	3	71
patient1	patient1_t1	55	4	0
patient1	patient1_t1	55	5	19
patient1	patient1_t1	55	6	10
patient1	patient1_t1	56	1	0
patient1	patient1_t1	56	2	0
patient1	patient1_t1	56	3	60
patient1	patient1_t1	56	4	9
patient1	patient1_t1	56	5	18
patient1	patient1_t1	56	6	13
patient1	patient1_t1	57	1	0
patient1	patient1_t1	57	2	0
patient1	patient1_t1	57	3	64
patient1	patient1_t1	57	4	7
patient1	patient1_t1	57	5	21
patient1	patient1_t1	57	6	8
patient1	patient1_t1	58	1	0
patient1	patient1_t1	58	2	0
patient1	patient1_t1	58	3	75
patient1	patient1_t1	58	4	0
patient1	patient1_t1	58	5	17
patient1	patient1_t1	58	6	8
patient1	patient1_t1	59	1	0
patient1	patient1_t1	59	2	0
patient1	patient1_t1	59	3	58
patient1	patient1_t1	59	4	12
patient1	patient1_t1	59	5	20
patient1	patient1_t1	59	6	10
patient1	patient1_t1	60	1	0
patient1	patient1_t1	60	2	0
patient1	patient1_t1	60	3	72
patient1	patient1_t1	60	4	1
patient1	patient1_t1	60	5	18
patient1	patient1_t1	60	6	9
patient1	patient1_t1	61	1	0
patient1	patient1_t1	61	2	0
patient1	patient1_t1	61	3	59
patient1	patient1_t1	61	4	9
patient1	patient1_t1	61	5	20
patient1	patient1_t1	61	6	12
patient1	patient1_t1	62	1	0
patient1	patient1_t1	62	2	0
patient1	patient1_t1	62	3	53
patient1	patient1_t1	62	4	13
patient1	patient1_t1	62	5	22
patient1	patient1_t1	62	6	12
patient1	patient1_t1	63	1	0
patient1	patient1_t1	63	2	0
patient1	patient1_t1	63	3	60
patient1	patient1_t1	63	4	11
patient1	patient1_t1	63	5	20
patient1	patient1_t1	63	6	9
patient1	patient1_t1	64	1	0
patient1	patient1_t1	64	2	2
patient1	patient1_t1	64	3	68
patient1	patient1_t1	64	4	0
patient1	patient1_t1	64	5	20
patient1	patient1_t1	64	6	10
patient1	patient1_t1	65	1	0
patient1	patient1_t1	65	2	0
patient1	patient1_t1	65	3	61
patient1	patient1_t1	65	4	9
patient1	patient1_t1	65	5	21
patient1	patient1_t1	65	6	9
patient1	patient1_t1	66	1	0
patient1	patient1_t1	66	2	0
patient1	patient1_t1	66	3	57
patient1	patient1_t1	66	4	13
patient1	patient1_t1	66	5	20
patient1	patient1_t1	66	6	10
patient1	patient1_t1	67	1	0
patient1	patient1_t1	67	2	0
patient1	patient1_t1	67	3	62
patient1	patient1_t1	67	4	9
patient1	patient1_t1	67	5	19
patient1	patient1_t1	67	6	10
patient1	patient1_t1	68	1	0
patient1	patient1_t1	68	2	0
patient1	patient1_t1	68	3	64
patient1	patient1_t1	68	4	9
patient1	patient1_t1	68	5	18
patient1	patient1_t1	68	6	9
patient1	patient1_t1	69	1	0
patient1	patient1_t1	69	2	0
patient1	patient1_t1	69	3	61
patient1	patient1_t1	69	4	9
patient1	patient1_t1	69	5	21
patient1	patient1_t1	69	6	9
patient1	patient1_t1	70	1	0
patient1	patient1_t1	70	2	0
patient1	patient1_t1	70	3	68
patient1	patient1_t1	70	4	0
patient1	patient1_t1	70	5	20
patient1	patient1_t1	70	6	12
patient1	patient1_t1	71	1	0
patient1	patient1_t1	71	2	0
patient1	patient1_t1	71	3	73
patient1	patient1_t1	71	4	0
patient1	patient1_t1	71	5	21
patient1	patient1_t1	71	6	6
patient1	patient1_t1	72	1	0
patient1	patient1_t1	72	2	0
patient1	patient1_t1	72	3	63
patient1	patient1_t1	72	4	9
patient1	patient1_t1	72	5	20
patient1	patient1_t1	72	6	8
patient1	patient1_t1	73	1	0
patient1	patient1_t1	73	2	1
patient1	patient1_t1	73	3	65
patient1	patient1_t1	73	4	0
patient1	patient1_t1	73	5	23
patient1	patient1_t1	73	6	11
patient1	patient1_t1	74	1	0
patient1	patient1_t1	74	2	0
patient1	patient1_t1	74	3	61
patient1	patient1_t1	74	4	10
patient1	patient1_t1	74	5	19
patient1	patient1_t1	74	6	10
patient1	patient1_t1	75	1	0
patient1	patient1_t1	75	2	2
patient1	patient1_t1	75	3	68
patient1	patient1_t1	75	4	0
patient1	patient1_t1	75	5	21
patient1	patient1_t1	75	6	9
patient1	patient1_t1	76	1	0
patient1	patient1_t1	76	2	1
patient1	patient1_t1	76	3	69
patient1	patient1_t1	76	4	0
patient1	patient1_t1	76	5	19
patient1	patient1_t1	76	6	11
patient1	patient1_t1	77	1	0
patient1	patient1_t1	77	2	0
patient1	patient1_t1	77	3	59
patient1	patient1_t1	77	4	10
patient1	patient1_t1	77	5	20
patient1	patient1_t1	77	6	11
patient1	patient1_t1	78	1	0
patient1	patient1_t1	78	2	0
patient1	patient1_t1	78	3	59
patient1	patient1_t1	78	4	10
patient1	patient1_t1	78	5	21
patient1	patient1_t1	78	6	10
patient1	patient1_t1	79	1	0
patient1	patient1_t1	79	2	0
patient1	patient1_t1	79	3	73
patient1	patient1_t1	79	4	0
patient1	patient1_t1	79	5	19
patient1	patient1_t1	79	6	8
patient1	patient1_t1	80	1	0
patient1	patient1_t1	80	2	0
patient1	patient1_t1	80	3	73
patient1	patient1_t1	80	4	0
patient1	patient1_t1	80	5	17
patient1	patient1_t1	80	6	10
patient1	patient1_t1	81	1	0
patient1	patient1_t1	81	2	0
patient1	patient1_t1	81	3	58
patient1	patient1_t1	81	4	13
patient1	patient1_t1	81	5	20
patient1	patient1_t1	81	6	9
patient1	patient1_t1	82	1	0
patient1	patient1_t1	82	2	0
patient1	patient1_t1	82	3	62
patient1	patient1_t1	82	4	9
patient1	patient1_t1	82	5	19
patient1	patient1_t1	82	6	10
patient1	patient1_t1	83	1	0
patient1	patient1_t1	83	2	0
patient1	patient1_t1	83	3	61
patient1	patient1_t1	83	4	9
patient1	patient1_t1	83	5	19
patient1	patient1_t1	83	6	11
patient1	patient1_t1	84	1	0
patient1	patient1_t1	84	2	0
patient1	patient1_t1	84	3	60
patient1	patient1_t1	84	4	8
patient1	patient1_t1	84	5	22
patient1	patient1_t1	84	6	10
patient1	patient1_t1	85	1	0
patient1	patient1_t1	85	2	3
patient1	patient1_t1	85	3	74
patient1	patient1_t1	85	4	0
patient1	patient1_t1	85	5	16
patient1	patient1_t1	85	6	7
patient1	patient1_t1	86	1	0
patient1	patient1_t1	86	2	0
patient1	patient1_t1	86	3	61
patient1	patient1_t1	86	4	11
patient1	patient1_t1	86	5	17
patient1	patient1_t1	86	6	11
patient1	patient1_t1	87	1	0
patient1	patient1_t1	87	2	0
patient1	patient1_t1	87	3	61
patient1	patient1_t1	87	4	9
patient1	patient1_t1	87	5	19
patient1	patient1_t1	87	6	11
patient1	patient1_t1	88	1	0
patient1	patient1_t1	88	2	1
patient1	patient1_t1	88	3	71
patient1	patient1_t1	88	4	0
patient1	patient1_t1	88	5	19
patient1	patient1_t1	88	6	9
patient1	patient1_t1	89	1	0
patient1	patient1_t1	89	2	0
patient1	patient1_t1	89	3	55
patient1	patient1_t1	89	4	15
patient1	patient1_t1	89	5	20
patient1	patient1_t1	89	6	10
patient1	patient1_t1	90	1	0
patient1	patient1_t1	90	2	0
patient1	patient1_t1	90	3	58
patient1	patient1_t1	90	4	9
patient1	patient1_t1	90	5	23
patient1	patient1_t1	90	6	10
patient1	patient1_t1	91	1	0
patient1	patient1_t1	91	2	0
patient1	patient1_t1	91	3	60
patient1	patient1_t1	91	4	10
patient1	patient1_t1	91	5	19
patient1	patient1_t1	91	6	11
patient1	patient1_t1	92	1	0
patient1	patient1_t1	92	2	0
patient1	patient1_t1	92	3	60
patient1	patient1_t1	92	4	9
patient1	patient1_t1	92	5	20
patient1	patient1_t1	92	6	11
patient1	patient1_t1	93	1	0
patient1	patient1_t1	93	2	0
patient1	patient1_t1	93	3	69
patient1	patient1_t1	93	4	0
patient1	patient1_t1	93	5	22
patient1	patient1_t1	93	6	9
patient1	patient1_t1	94	1	0
patient1	patient1_t1	94	2	0
patient1	patient1_t1	94	3	59
patient1	patient1_t1	94	4	12
patient1	patient1_t1	94	5	20
patient1	patient1_t1	94	6	9
patient1	patient1_t1	95	1	0
patient1	patient1_t1	95	2	0
patient1	patient1_t1	95	3	58
patient1	patient1_t1	95	4	11
patient1	patient1_t1	95	5	21
patient1	patient1_t1	95	6	10
patient1	patient1_t1	96	1	0
patient1	patient1_t1	96	2	0
patient1	patient1_t1	96	3	71
patient1	patient1_t1	96	4	0
patient1	patient1_t1	96	5	19
patient1	patient1_t1	96	6	10
patient1	patient1_t1	97	1	0
patient1	patient1_t1	97	2	0
patient1	patient1_t1	97	3	67
patient1	patient1_t1	97	4	0
patient1	patient1_t1	97	5	22
patient1	patient1_t1	97	6	11
patient1	patient1_t1	98	1	0
patient1	patient1_t1	98	2	0
patient1	patient1_t1	98	3	63
patient1	patient1_t1	98	4	8
patient1	patient1_t1	98	5	18
patient1	patient1_t1	98	6	11
patient1	patient1_t1	99	1	0
patient1	patient1_t1	99	2	0
patient1	patient1_t1	99	3	72
patient1	patient1_t1	99	4	0
patient1	patient1_t1	99	5	19
patient1	patient1_t1	99	6	9
patient1	patient1_t1	100	1	0
patient1	patient1_t1	100	2	1
patient1	patient1_t1	100	3	68
patient1	patient1_t1	100	4	0
patient1	patient1_t1	100	5	21
patient1	patient1_t1	100	6	10
patient1	patient1_t1	101	1	0
patient1	patient1_t1	101	2	0
patient1	patient1_t1	101	3	59
patient1	patient1_t1	101	4	11
patient1	patient1_t1	101	5	20
patient1	patient1_t1	101	6	10
patient1	patient1_t1	102	1	0
patient1	patient1_t1	102	2	0
patient1	patient1_t1	102	3	67
patient1	patient1_t1	102	4	0
patient1	patient1_t1	102	5	21
patient1	patient1_t1	102	6	12
patient1	patient1_t1	103	1	0
patient1	patient1_t1	103	2	0
patient1	patient1_t1	103	3	70
patient1	patient1_t1	103	4	0
patient1	patient1_t1	103	5	21
patient1	patient1_t1	103	6	9
patient1	patient1_t1	104	1	0
patient1	patient1_t1	104	2	0
patient1	patient1_t1	104	3	68
patient1	patient1_t1	104	4	0
patient1	patient1_t1	104	5	23
patient1	patient1_t1	104	6	9
patient1	patient1_t1	105	1	0
patient1	patient1_t1	105	2	0
patient1	patient1_t1	105	3	71
patient1	patient1_t1	105	4	0
patient1	patient1_t1	105	5	19
patient1	patient1_t1	105	6	10
patient1	patient1_t1	106	1	0
patient1	patient1_t1	106	2	0
patient1	patient1_t1	106	3	67
patient1	patient1_t1	106	4	0
patient1	patient1_t1	106	5	21
patient1	patient1_t1	106	6	12
patient1	patient1_t1	107	1	0
patient1	patient1_t1	107	2	1
patient1	patient1_t1	107	3	64
patient1	patient1_t1	107	4	0
patient1	patient1_t1	107	5	20
patient1	patient1_t1	107	6	15
patient1	patient1_t1	108	1	0
patient1	patient1_t1	108	2	1
patient1	patient1_t1	108	3	67
patient1	patient1_t1	108	4	0
patient1	patient1_t1	108	5	19
patient1	patient1_t1	108	6	13
patient1	patient1_t1	109	1	0
patient1	patient1_t1	109	2	0
patient1	patient1_t1	109	3	63
patient1	patient1_t1	109	4	11
patient1	patient1_t1	109	5	16
patient1	patient1_t1	109	6	10
patient1	patient1_t1	110	1	0
patient1	patient1_t1	110	2	0
patient1	patient1_t1	110	3	71
patient1	patient1_t1	110	4	0
patient1	patient1_t1	110	5	20
patient1	patient1_t1	110	6	9
patient1	patient1_t1	111	1	0
patient1	patient1_t1	111	2	0
patient1	patient1_t1	111	3	62
patient1	patient1_t1	111	4	9
patient1	patient1_t1	111	5	18
patient1	patient1_t1	111	6	11
patient1	patient1_t1	112	1	0
patient1	patient1_t1	112	2	1
patient1	patient1_t1	112	3	71
patient1	patient1_t1	112	4	0
patient1	patient1_t1	112	5	19
patient1	patient1_t1	112	6	9
patient1	patient1_t1	113	1	0
patient1	patient1_t1	113	2	1
patient1	patient1_t1	113	3	68
patient1	patient1_t1	113	4	0
patient1	patient1_t1	113	5	20
patient1	patient1_t1	113	6	11
patient1	patient1_t1	114	1	0
patient1	patient1_t1	114	2	0
patient1	patient1_t1	114	3	68
patient1	patient1_t1	114	4	1
patient1	patient1_t1	114	5	22
patient1	patient1_t1	114	6	9
patient1	patient1_t1	115	1	0
patient1	patient1_t1	115	2	0
patient1	patient1_t1	115	3	66
patient1	patient1_t1	115	4	0
patient1	patient1_t1	115	5	23
patient1	patient1_t1	115	6	11
patient1	patient1_t1	116	1	0
patient1	patient1_t1	116	2	0
patient1	patient1_t1	116	3	61
patient1	patient1_t1	116	4	9
patient1	patient1_t1	116	5	22
patient1	patient1_t1	116	6	8
patient1	patient1_t1	117	1	0
patient1	patient1_t1	117	2	1
patient1	patient1_t1	117	3	68
patient1	patient1_t1	117	4	0
patient1	patient1_t1	117	5	20
patient1	patient1_t1	117	6	11
patient1	patient1_t1	118	1	0
patient1	patient1_t1	118	2	4
patient1	patient1_t1	118	3	65
patient1	patient1_t1	118	4	0
patient1	patient1_t1	118	5	19
patient1	patient1_t1	118	6	12
patient1	patient1_t1	119	1	0
patient1	patient1_t1	119	2	0
patient1	patient1_t1	119	3	70
patient1	patient1_t1	119	4	0
patient1	patient1_t1	119	5	18
patient1	patient1_t1	119	6	12
patient1	patient1_t1	120	1	0
patient1	patient1_t1	120	2	0
patient1	patient1_t1	120	3	74
patient1	patient1_t1	120	4	0
patient1	patient1_t1	120	5	18
patient1	patient1_t1	120	6	8
patient1	patient1_t1	121	1	0
patient1	patient1_t1	121	2	0
patient1	patient1_t1	121	3	57
patient1	patient1_t1	121	4	11
patient1	patient1_t1	121	5	21
patient1	patient1_t1	121	6	11
patient1	patient1_t1	122	1	0
patient1	patient1_t1	122	2	2
patient1	patient1_t1	122	3	70
patient1	patient1_t1	122	4	0
patient1	patient1_t1	122	5	19
patient1	patient1_t1	122	6	9
patient1	patient1_t1	123	1	0
patient1	patient1_t1	123	2	0
patient1	patient1_t1	123	3	56
patient1	patient1_t1	123	4	10
patient1	patient1_t1	123	5	19
patient1	patient1_t1	123	6	15
patient1	patient1_t1	124	1	0
patient1	patient1_t1	124	2	0
patient1	patient1_t1	124	3	63
patient1	patient1_t1	124	4	9
patient1	patient1_t1	124	5	18
patient1	patient1_t1	124	6	10
patient1	patient1_t1	125	1	0
patient1	patient1_t1	125	2	0
patient1	patient1_t1	125	3	59
patient1	patient1_t1	125	4	11
patient1	patient1_t1	125	5	21
patient1	patient1_t1	125	6	9
patient1	patient1_t1	126	1	0
patient1	patient1_t1	126	2	2
patient1	patient1_t1	126	3	68
patient1	patient1_t1	126	4	0
patient1	patient1_t1	126	5	20
patient1	patient1_t1	126	6	10
patient1	patient1_t1	127	1	0
patient1	patient1_t1	127	2	0
patient1	patient1_t1	127	3	61
patient1	patient1_t1	127	4	10
patient1	patient1_t1	127	5	21
patient1	patient1_t1	127	6	8
patient1	patient1_t1	128	1	0
patient1	patient1_t1	128	2	2
patient1	patient1_t1	128	3	65
patient1	patient1_t1	128	4	0
patient1	patient1_t1	128	5	20
patient1	patient1_t1	128	6	13
patient1	patient1_t1	129	1	0
patient1	patient1_t1	129	2	0
patient1	patient1_t1	129	3	61
patient1	patient1_t1	129	4	11
patient1	patient1_t1	129	5	18
patient1	patient1_t1	129	6	10
patient1	patient1_t1	130	1	0
patient1	patient1_t1	130	2	0
patient1	patient1_t1	130	3	59
patient1	patient1_t1	130	4	12
patient1	patient1_t1	130	5	20
patient1	patient1_t1	130	6	9
patient1	patient1_t1	131	1	0
patient1	patient1_t1	131	2	0
patient1	patient1_t1	131	3	59
patient1	patient1_t1	131	4	13
patient1	patient1_t1	131	5	19
patient1	patient1_t1	131	6	9
patient1	patient1_t1	132	1	0
patient1	patient1_t1	132	2	0
patient1	patient1_t1	132	3	61
patient1	patient1_t1	132	4	9
patient1	patient1_t1	132	5	21
patient1	patient1_t1	132	6	9
patient1	patient1_t1	133	1	0
patient1	patient1_t1	133	2	0
patient1	patient1_t1	133	3	59
patient1	patient1_t1	133	4	10
patient1	patient1_t1	133	5	22
patient1	patient1_t1	133	6	9
patient1	patient1_t1	134	1	0
patient1	patient1_t1	134	2	0
patient1	patient1_t1	134	3	69
patient1	patient1_t1	134	4	0
patient1	patient1_t1	134	5	22
patient1	patient1_t1	134	6	9
patient1	patient1_t1	135	1	0
patient1	patient1_t1	135	2	0
patient1	patient1_t1	135	3	62
patient1	patient1_t1	135	4	10
patient1	patient1_t1	135	5	21
patient1	patient1_t1	135	6	7
patient1	patient1_t1	136	1	0
patient1	patient1_t1	136	2	0
patient1	patient1_t1	136	3	62
