Chromosome	Start.bp	End.bp	mu.major	mu.minor	n_probes	length	tau	sigma.minor	sigma.major
2	102776839	105826408	2.0	1.0	5631	48621504	4.4678647	0.007043108059714344	0.014353144821491078
2	105826408	108364142	3.0	2.0	3527	63792308	2.8619101	0.0037373515739064127	0.01283626842333856
2	108364142	131525756	2.0	1.0	545	45183660	3.8774623999999998	0.0011282763846548023	0.001595804409401121
2	131525756	132368460	3.0	1.0	1752	83200495	2.6739679	0.001627021053473828	0.004472784613696544
2	132368460	146340159	2.0	1.0	2964	35901491	0.2013756	0.004162147102975017	0.012608531166839644
2	146340159	146794622	2.2	2.0	5491	10000510	5.762781599999999	0.0028552002110312715	0.008981076849439797
2	146794622	147066844	4.2	2.0	5566	34846697	0.6063928	0.002070420466605618	0.016760896399165812
2	147066844	148267569	2.2	2.0	5170	28174400	5.7989527	0.002407598657729514	0.041438618861704
2	148267569	148850679	2.0	0.0	2492	45234525	4.1156327	0.00031918314969373073	0.029905652648862496
2	148850679	149362265	2.2	2.0	2078	61845822	1.6977787	0.014243497057278743	0.02542721589916079
2	149362265	152799648	2.0	1.0	1278	3777616	4.2352771	0.0002048954730366288	0.001785004209776166
2	152799648	154927202	1.4	1.0	3619	80757585	2.1463053999999997	0.0017746985415849396	0.008198641227098598
2	154927202	155535295	2.0	1.0	5303	47773485	3.5173253	0.010568450611362168	0.029576917905125535
2	155535295	157236151	2.0	0.55	4203	44525040	4.3858112	0.016269127331003372	0.01835160103710947
2	157236151	165657147	2.0	1.0	739	13705928	5.9376568	0.001592056638939171	0.009544109133748953
2	165657147	167283742	3.0	1.0	4392	33976787	2.7175857999999997	0.002038724972003415	0.02886447878082271
2	167283742	168461820	3.0	1.45	259	60268268	5.6838825	0.0025785181424058928	0.008237489498830209
2	168461820	170000043	2.0	1.45	5294	2300947	5.3344602	0.0032792806252760647	0.012724831301737346
2	170000043	174477338	2.0	1.45	5607	37490978	5.5227511	0.0030320876773567047	0.035874082784337
2	174477338	176233700	2.0	1.45	2690	71291531	1.0779307999999999	0.004459398802326023	0.010258639683416611
2	176233700	176859843	2.0	1.0	1735	93290162	4.9846698	0.0030967570716287558	0.02801609277782058
2	176859843	179511184	2.0	0.9	2662	73063544	4.560271999999999	0.0012484979670011576	0.005241356202720082
2	179511184	182761691	3.0	0.9	3818	82741487	2.0060016	0.002489426652262462	0.013543377893539184
2	182761691	187029209	2.0	0.9	4441	83305220	5.369117999999999	0.0005009296530172635	0.005613640486828735
2	187029209	188803548	2.0	1.0	3016	14054558	1.7660665999999998	0.00932665788428747	0.01807937533899302
2	188803548	189867282	2.0	1.6	3152	23859365	3.0808852	0.001448071514385585	0.009389022582644199
2	189867282	193280976	2.0	0.4	5781	85850588	1.802209	0.00964537926239229	0.04077739958329149
2	193280976	193600460	2.0	0.4	4923	72876846	0.4253288	0.002880067316542802	0.014137269162785442
2	193600460	206154268	2.0	1.0	2828	10386649	3.4260514	0.005813456378988038	0.010641376405270407
2	206154268	206739716	2.0	1.2	4739	24189926	2.0264394	0.0014996831304287406	0.0315640898432389
2	206739716	210447377	2.0	1.0	5218	76461686	1.3550437	0.013263263936779696	0.02586188358403583
2	210447377	212563329	1.0	0.0	4477	92690805	4.0374872	0.0023902470969751014	0.012062504263154958
2	212563329	212976170	0.0	0.0	3047	87424922	4.6263815	0.008935753796318543	0.011336828589430026
2	212976170	215056949	1.0	0.0	4069	71846257	1.9376152	0.0020862838282927417	0.003980071469594175
2	215056949	216823711	2.0	1.0	3517	21738495	4.5006127	0.0011552122775868843	0.017253627943362593
2	216823711	217790596	2.6	1.0	103	37042216	3.3311352	0.011389834425795536	0.021564349185555227
2	217790596	217825085	2.0	1.0	5650	42578235	0.8985305	0.010791606732890724	0.021920159255120246
2	217825085	218120443	2.3	1.0	2718	62767425	2.5179942	0.0008453497371457752	0.016074730084703812
2	218120443	243199373	2.0	1.0	445	1839797	2.5851592	0.011725348427534386	0.022297062763917068
3	1	21431476	1.0	1.0	1838	65843134	2.3882855	0.0017843225595791518	0.021863539033933392
3	21431476	22195727	1.45	1.0	217	9632705	3.9869095	0.0006367981168540779	0.009264622425979321
3	22195727	25011692	2.05	1.0	898	25684774	0.6283146	0.0023968309378475596	0.016573417165354418
3	25011692	25183467	1.6	1.0	3257	88600168	2.1058993999999998	0.004553960378349432	0.029017118543022496
3	25183467	27884842	1.6	0.97	1784	41377355	5.183707	0.010650739700930981	0.022990479734700663
3	27884842	29282790	1.6	1.0	3589	35138693	2.9841313	0.0016697858068369987	0.002802316183682715
3	29282790	36681611	1.0	1.0	3150	18521632	1.582566	0.006575766575943396	0.00865576098911719
3	36681611	38197267	1.0	0.0	360	12220385	1.1684759999999998	0.0024171002905452473	0.007961904854624119
3	38197267	50258888	1.0	1.0	368	33529257	3.7637861999999997	0.004669174879731895	0.024914167189035163
3	50258888	50928812	1.0	0.97	4048	4408542	2.1758099	0.000703889143823529	0.024216141436451323
3	50928812	53331155	1.0	1.0	1647	41804306	5.5203849	0.00036736987999741574	0.003919266257461007
3	53331155	55038827	1.0	0.0	5483	67331509	2.499746	0.006973322880242562	0.008802996663472182
3	55038827	55649309	0.0	0.0	5572	42069072	0.2986849	0.01426510978296588	0.026956705821722694
3	55649309	55754702	1.0	0.0	3692	66335734	4.7546191	0.0006279055318027601	0.0028247613244382973
3	55754702	58696323	1.0	1.0	3172	52866417	0.4322389	0.010308162542087962	0.020801287702294273
3	58696323	59324722	3.0	1.0	4734	96281010	2.1895933999999997	0.0010327749083177474	0.016630325937708856
3	59324722	67591265	1.0	1.0	3491	61689141	2.7360994	0.007980439361748186	0.025318367070205763
3	67591265	69498956	1.0	0.0	4737	33133500	0.0759755	0.004262148751302517	0.004574988704606212
3	69498956	77018908	1.0	1.0	5461	18331540	5.526433099999999	0.0030651787443689337	0.02966871911062958
3	77018908	78194128	1.3	1.0	3163	76061589	3.1393065	0.00393340915618848	0.015823249104957263
3	78194128	84903398	1.0	1.0	518	37977121	4.0397142	0.000516669963506189	0.0010215400438912602
3	84903398	85156537	1.0	0.0	2569	74390011	4.1371294	0.0014796091329564985	0.018855034230930847
3	85156537	87565151	1.0	1.0	4755	19251983	0.9324933999999999	0.0011424927675665773	0.011972126482927423
3	87565151	90123787	2.8	1.0	2818	40918874	1.8982527999999999	0.011224549570436046	0.020147081200323744
3	90123787	91567770	1.0	1.0	5518	62056013	2.4126621999999998	0.0028603834700230224	0.018762460218835625
3	91567770	91626739	3.0	1.0	39	23340285	3.0319841	0.0005174732700352707	0.00615720400947934
3	91626739	92346646	1.0	0.0	4748	31499161	0.24281419999999998	0.010371889963533625	0.029318931212431436
3	92346646	97384315	3.0	1.0	3737	16203809	2.2013292	0.021243293226354678	0.021300728127352828
3	97384315	127348066	1.0	1.0	3884	2698349	2.2086372	0.0006448333275448231	0.001158864659711831
3	127348066	129037491	1.0	0.9	5503	75871160	4.8421517	0.0075183095886331855	0.01708084785754305
3	129037491	140092727	1.0	1.0	1214	66353988	3.4610024	0.009004166919228146	0.02691356993149566
3	140092727	141038949	2.0	1.0	5276	66055576	1.5300466	0.0026600223123282338	0.003409079078218072
3	141038949	142011578	1.0	1.0	5425	62283628	2.8971188	0.001677020092897803	0.02298792772061347
3	142011578	142142363	1.0	0.0	2018	55107145	3.3988802	0.005159246269552029	0.029676806262227375
3	142142363	149341968	1.0	1.0	5379	96297838	3.2857748	0.0033787888566224108	0.011131494096393883
3	149341968	153988820	2.0	1.0	1592	25573740	2.6005357	0.009818175004582312	0.01342172273541921
3	153988820	154405020	1.0	0.0	1446	79286305	0.7428072	0.0043600963303408735	0.007011102840378128
3	154405020	157450046	1.0	0.0	1742	71460216	5.1795751	0.009741899400934529	0.01642525707010165
3	157450046	165670109	1.0	1.0	3201	40070956	1.2930073	0.0036207556799311563	0.006042565923313428
3	165670109	165799728	1.0	0.95	4033	19058458	0.79435	0.011331272239025867	0.011390201979078932
3	165799728	165889690	1.45	0.95	3117	67264043	0.8512445	0.007868086663828136	0.018584445366192106
3	165889690	168356854	1.0	0.95	1422	25902708	3.3387376	0.01645012980620234	0.031905440887673955
3	168356854	180950076	1.0	1.0	723	79962894	1.7290626999999998	0.008293086155475297	0.02171821108736635
3	180950076	181456674	1.9	1.0	338	37799633	2.9105344	0.0010312627732034262	0.013547196492173482
3	181456674	190211767	1.0	1.0	4469	83377880	5.676076699999999	0.003942741876674649	0.022766858760698033
3	190211767	190386706	1.0	0.97	2832	362161	1.1185911	0.008799501613842457	0.03900055634736545
3	190386706	198022430	1.0	1.0	1642	58815582	5.4177472	0.022902610959244597	0.026217953329447978
4	1	306741	1.0	1.0	1615	7349653	2.5936166999999997	0.004688300336232332	0.006841964538648083
4	306741	4596904	4.0	1.0	4053	44346462	4.5817909	0.015315187882990085	0.026512484669845262
4	4596904	4644706	1.0	1.0	1092	22871781	1.0921667	0.0010000574828507936	0.013081133016158195
4	4644706	4908963	3.0	1.0	5689	12973320	5.8379191	0.005782200244034128	0.01268923027937497
4	4908963	8779983	1.0	1.0	1847	51239329	4.267578299999999	0.002812702530138868	0.0044903929644551374
4	8779983	8889272	3.0	1.0	451	67142696	1.7230219	0.004843972096780122	0.007812481214212633
4	8889272	10549310	1.0	1.0	194	79111189	0.8309013	0.00490516246700086	0.008319027460602093
4	10549310	12232391	1.03	1.0	4562	47132717	0.8916189999999999	0.006620034657946256	0.02321402050734685
4	12232391	14275441	1.0	1.0	3140	38963433	5.7952324	0.0003456678564750418	0.0060948397532133575
4	14275441	16745958	1.0	0.4	4101	83113213	3.8845680999999996	0.0009520455724720914	0.017491452159784933
4	16745958	18379709	1.2000000000000002	1.0	4029	83868347	0.9692174	0.013744677519338127	0.024576651282759886
4	18379709	24493428	1.0	0.4	3570	29314694	1.4978519	0.011332299479040953	0.02715337839147626
4	24493428	24698337	1.2000000000000002	1.0	3146	47873137	3.1348374	0.015968512683555362	0.02486007953223933
4	24698337	25488676	3.0	1.0	3162	22012502	5.5244522	0.007636243361656509	0.00813420944779152
4	25488676	44884303	1.0	1.0	3694	4865496	4.2572341	0.010104804327734774	0.04367325012941964
4	44884303	47381401	4.0	1.0	2424	54125385	3.5343527	0.00505389702027751	0.026931326012515102
4	47381401	47382423	4.0	0.4	257	33414336	3.9707176	0.0006541001801755266	0.0007195363268360278
4	47382423	54636831	4.0	1.0	1816	65960800	2.4955282999999997	0.006582584327303123	0.011712299775300888
4	54636831	55079071	1.0	1.0	3968	28464577	1.6282606	0.012171276205121036	0.035936730068986435
4	55079071	58152834	1.1	1.0	4652	31178382	3.2769852	0.012595139430918756	0.016169411301315734
4	58152834	66504344	1.0	1.0	2569	3839283	4.5443083	0.0029902411434602006	0.014051316850937015
4	66504344	66520674	2.0	1.0	1164	48252133	3.1301367	0.002236750012825694	0.00784100140889928
4	66520674	69837883	1.0	1.0	5229	26709682	1.7479453999999999	0.0075805557891296714	0.016346066019898346
4	69837883	73551315	1.0	0.9	2988	99583899	4.7995565	0.0008304302504642802	0.008136932357794193
4	73551315	74618937	3.0	0.9	5560	85623689	2.9306406999999997	0.005012447936579578	0.007728563767482171
4	74618937	78055905	3.0	1.0	737	2080139	0.9253855	0.015331290273805824	0.026212380876590988
4	78055905	85851690	1.0	1.0	3106	86709043	3.5992012	0.0014504055958454553	0.0022558446988977464
4	85851690	89130407	1.1	1.0	2672	73186171	2.4099067	0.0007215446595232454	0.009106546436441166
4	89130407	92255056	1.0	1.0	2622	30902227	5.8118631999999995	0.001892060650898763	0.013047413345404865
4	92255056	93529535	1.0	0.9	1305	80795316	5.8735498	0.00658961183998107	0.008212329744801475
4	93529535	99141634	1.0	1.0	453	29186220	1.4097518	0.0026991314786400152	0.007047961177321881
4	99141634	101411855	1.0	0.0	733	60102624	4.5687375	0.006898479994830682	0.021554386830332395
4	101411855	110621266	1.0	1.0	4020	4361595	3.8727386999999998	0.0019388126943569767	0.027377414488385116
4	110621266	111877044	1.0	0.9	5795	33089996	3.6230224	0.006160513847445948	0.027658634473961705
4	111877044	113356514	1.06	0.9	2935	45145116	4.7707995	0.00245051405123201	0.01372316951012313
4	113356514	117582816	1.06	1.0	1783	40015837	2.0637227	0.006591737365259823	0.05058248653515206
4	117582816	124370366	1.0	1.0	2312	14067920	3.7636469	0.001914483033195337	0.0040097526244892425
4	124370366	125485573	1.0	0.4	2382	92391293	3.1794669	0.0013254164069773564	0.006419406752060181
4	125485573	126438818	1.0	1.0	1534	20798078	2.2671324	0.020499874054637927	0.027962156524799796
4	126438818	128534571	1.0	0.0	661	66732597	5.4519528	0.0073312401813472325	0.011916867465976732
4	128534571	130588372	1.0	0.0	4948	2793964	0.9634796999999999	0.006520598290010013	0.012152462719391823
4	130588372	131735902	1.0	0.0	3770	84022577	2.4470624	0.00046991540720309145	0.0028052001053505697
4	131735902	131781910	1.0	0.0	5666	33095477	4.9862287	0.004370394246616054	0.004868942246338131
4	131781910	132376702	1.0	0.0	1216	35439316	0.1621939	0.002449792028310103	0.00331292216001062
4	132376702	144280064	1.0	1.0	836	25545371	4.7236940999999995	0.0015145477392980089	0.0065327957254608885
4	144280064	144972704	1.9	1.0	4070	45853439	4.5899757	0.0011428303057468496	0.012420543572758519
4	144972704	156829961	1.0	1.0	5690	57377305	2.4842158	0.012285366164899449	0.02110409641415806
4	156829961	158794151	2.2	1.0	784	17986446	5.9423601999999995	0.004177037768806819	0.008857441346456598
4	158794151	161274713	1.0	1.0	4284	71143180	1.4257434999999998	0.009171273757254843	0.011972495435240043
4	161274713	166490745	1.6	1.0	4011	34262042	0.6462121	0.00136999403908802	0.016354770254366484
4	166490745	168082465	1.66	1.0	3114	6271726	5.0567499	0.0013362699196625165	0.0040623594768212905
4	168082465	171203489	1.6	1.0	5307	63062251	0.6035399	0.004391687350882452	0.00633559479713021
4	171203489	184937375	1.0	1.0	1874	76742879	0.8643607	0.0017902427911429828	0.004617758036828521
4	184937375	185660753	1.1	1.0	1984	78783071	3.3382699	0.00657667290417398	0.013011813005298092
4	185660753	186632012	1.0	1.0	4191	66977084	0.6340110999999999	0.0018323417053619792	0.005142367126647006
4	186632012	188191186	1.0	0.4	374	76194655	2.4635171	0.006856047658965172	0.013962574764431095
4	188191186	191154276	1.0	1.0	5303	12794449	4.0532514	0.012987068672216455	0.015584553636798256
5	1	332920	1.0	0.0	3570	44286334	1.0832308	0.0015628387135503664	0.0028179749507386115
5	332920	1328592	1.0	0.0	3737	5749467	1.9074815999999999	0.001499827097748125	0.007949531493135096
5	1328592	9136127	1.0	0.0	4925	30231403	5.9050426	0.004705866810002537	0.00959622105281961
5	9136127	10772211	1.06	0.0	3592	80604375	0.32445379999999996	0.0064624357642765855	0.008631279961558725
5	10772211	23127083	1.0	0.0	970	49439101	0.7336233999999999	0.01061013110344519	0.06753552858881498
5	23127083	24927832	1.0	0.0	4573	52119005	5.6323343999999995	0.0021269705969755967	0.0069253492578204776
5	24927832	45825841	1.0	0.0	3390	1419553	4.7766402	0.0037240275399580505	0.00488965723665467
5	45825841	47502015	0.0	0.0	3500	2067022	2.0064474	0.003426172191050038	0.006722717652161015
5	47502015	55282948	1.0	0.0	1820	94168003	1.8026813	0.012185753593971616	0.021842108731011
5	55282948	55647699	1.0	0.0	4116	38958556	3.5217552	0.0039893653017464194	0.00839488180504749
5	55647699	72302715	1.0	0.0	200	80972605	2.4511143	0.007119074814533434	0.013748338848832396
5	72302715	72391064	1.0	0.0	2823	3595774	0.3700055	0.021226659662264464	0.025957592289414032
5	72391064	72444001	1.0	0.0	2899	82090130	1.0104728	0.0007397246047160714	0.00992126460054479
5	72444001	72921490	3.0	0.0	5597	26407810	0.0576678	0.007406690336550458	0.009074862641015204
5	72921490	73996242	2.85	0.0	79	84632500	5.8052819	0.0021697675068752817	0.002455521756564464
5	73996242	78978925	3.0	0.0	3866	11922687	5.7967474	0.006525452809963864	0.009093678739387967
5	78978925	84631619	1.0	0.0	3315	7211132	1.6205857	0.006620545927764157	0.01565881635961817
5	84631619	84728804	0.0	0.0	222	11567450	1.2369104	0.0015992709230263683	0.003561020528354123
5	84728804	85621366	1.0	0.0	2053	25214733	4.425934499999999	0.004299538837862982	0.005270952919390756
5	85621366	86136917	1.9	0.0	3190	75819426	2.1460909	0.00016931837310365993	0.0001990276619666001
5	86136917	90448710	1.0	0.0	5468	69350799	1.8689194	0.0003752155962559768	0.015018929887928821
5	90448710	90963001	1.0	0.0	3720	97000193	5.1343729	0.006189128358778296	0.07188070974467711
5	90963001	91723563	1.0	0.0	4346	59688272	4.127786599999999	0.004726747028702051	0.0066268902836374615
5	91723563	98473448	3.0	0.0	3879	19892734	1.7449795	0.005001450370753804	0.008081099950351847
5	98473448	101620343	1.0	0.0	1203	51350543	3.5251997	0.0017687712385300563	0.004498465556037417
5	101620343	102066793	1.0	0.0	1868	43207750	2.6634835999999997	0.0006919540135852183	0.003240108010919828
5	102066793	103465546	1.0	0.0	2944	77689062	5.6025149999999995	0.001449249626021768	0.001511486756195973
5	103465546	108024975	1.0	0.0	3624	17282664	2.5636672	0.007833389271407986	0.02073553408459764
5	108024975	110705084	1.0	0.0	3716	64941919	5.4660405999999995	0.010479504785430794	0.030047750874652075
5	110705084	111404564	1.0	0.0	5454	2308727	0.9092442	1.9951863201397553e-05	0.01659001943032695
5	111404564	111957749	1.0	0.0	1161	83968712	3.7193330999999996	0.004908493016611334	0.011751526579420581
5	111957749	112909330	1.0	0.0	4909	26692262	4.8978968	0.0009475312577752443	0.0035917855080284324
5	112909330	114118274	0.0	0.0	1347	70633798	5.2139551	0.0002827968057170594	0.005255476568968469
5	114118274	114771722	1.0	0.0	5438	32323299	3.1976733	0.005468158347359605	0.011594332246245714
5	114771722	117037286	1.0	0.0	561	13516647	5.1738884	0.004387741333112699	0.01947137172417175
5	117037286	118056285	1.0	0.0	625	9860292	1.3653533	0.013510602727397566	0.0234305288806808
5	118056285	124493072	1.0	0.0	5472	14944073	1.3390345	0.003113378040396949	0.020617051204803755
5	124493072	126240505	1.0	0.0	3498	14025918	3.4235267	0.010176824630689944	0.016816353788941633
5	126240505	135358120	1.0	0.0	571	33737628	4.6762321	0.004410709944245338	0.027767455225783222
5	135358120	135663905	2.0	0.0	4777	34431571	1.1213750999999998	0.014976926096711914	0.01697637111892442
5	135663905	145454389	1.0	0.0	2987	88239558	2.6870757	0.011212360934676115	0.023767648764558977
5	145454389	146019479	3.0	0.0	2107	2207585	5.007178199999999	0.002381243575533445	0.014370570806762531
5	146019479	146250985	6.0	0.0	3600	42510866	3.8489563999999996	0.002728785291666806	0.003048030822191343
5	146250985	146621886	4.0	0.0	3121	28920637	4.8028775999999995	0.0023844651299471742	0.024822681708295057
5	146621886	146654587	5.0	0.0	5659	4508970	1.1516026	0.0049284377591009695	0.009787285612134768
5	146654587	147285449	4.0	0.0	3279	50130359	5.2960845999999995	0.00886621971219241	0.01965101349289538
5	147285449	148675202	4.2	0.0	4169	61785529	3.2135301	0.004682958943951932	0.009305214140569677
5	148675202	150433747	4.0	0.0	4641	22728266	4.1848619	0.0002119678540224225	0.011786831401333932
5	150433747	151846473	1.0	0.0	961	89430302	4.0938569	0.02137915301023632	0.04716894815677234
5	151846473	151951309	0.0	0.0	2518	38388936	1.5482466	0.010720520925232102	0.011883886286889456
5	151951309	154998517	1.0	0.0	3685	54867351	5.515697599999999	0.0033261392791543347	0.012505160012269003
5	154998517	157685291	0.0	0.0	4427	20643873	3.00011	0.00918253271178731	0.009741404821957076
5	157685291	160202499	0.0	0.0	2700	67007544	2.2633484999999998	0.0026601560458212148	0.006859969393776992
5	160202499	160519647	0.0	0.0	599	36189697	4.6324711999999995	0.004008468196766141	0.01731628031139078
5	160519647	163547655	0.0	0.0	1265	30116695	3.3079981	0.006240312537947239	0.016643794641703475
5	163547655	163779565	0.0	0.0	3933	48790215	3.5381221999999997	0.0002402207510793979	0.002908339120451504
5	163779565	169964483	1.0	0.0	3277	30536197	1.5652196999999999	0.0013236760990424793	0.003320587713826382
5	169964483	170851300	1.0	0.0	2919	49715490	3.3551482	0.0029538286783213244	0.0712901371251475
5	170851300	175013835	1.0	0.0	632	39304757	2.8153923	0.011770114021068978	0.011776409194061286
5	175013835	176220749	3.0	0.0	3504	34267694	1.3679265999999999	0.001968945628468511	0.011783625628341017
5	176220749	177723757	1.0	0.0	361	5833578	3.4660216999999998	0.001065158573873341	0.004402285735749047
5	177723757	179385162	0.7	0.0	2361	82619565	1.2524669	0.005601109433765089	0.006199660827961686
5	179385162	180915260	1.0	0.0	333	45490373	4.4709743	0.008671648176827052	0.015144811699551177
6	1	19748986	1.0	1.0	1482	15199242	0.8141613999999999	0.010081904725150562	0.02416895750014905
6	19748986	19872285	1.0	0.9	1596	34447779	2.0508902	0.0030941708893307434	0.018817430691591037
6	19872285	20169505	1.0	1.0	2172	83666305	4.496359	0.0011633322307153695	0.003485531152509626
6	20169505	20583127	1.0	0.95	1989	46641157	3.2645363	0.006590203368848821	0.02783572344906431
6	20583127	21153412	1.01	1.0	697	5694252	1.8476575	0.0031172485449322534	0.01469422917546515
6	21153412	23291050	1.0	0.95	248	78158699	0.3502528	0.011211858510310077	0.015679495713665042
6	23291050	27708445	0.97	0.95	4454	62673662	5.2289641	0.0035263042032173883	0.006206599908563401
6	27708445	30573845	1.0	0.97	2657	95035516	4.6003779	0.005454094804319515	0.008580998989841706
