	Repo	Type	Name	Description	url
23	getzlab/PurityReviewer	Reviewer	__pycache__		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/Reviewers/__pycache__
24	getzlab/PurityReviewer	Reviewer	ManualPurityReviewer.cpython-39		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/Reviewers/__pycache__/ManualPurityReviewer.cpython-39.pyc
25	getzlab/PurityReviewer	Reviewer	MatchedPurityReviewer.cpython-39		https://github.com/getzlab/PurityReviewer/blob/master/PurityReviewer/Reviewers/__pycache__/MatchedPurityReviewer.cpython-39.pyc
26	getzlab/PatientReviewer	Repository	getzlab/PatientReviewer	Explore integrated data on the patient level interactively in a Dash App, powered by JupyterReviewer	https://github.com/getzlab/PatientReviewer
27	getzlab/PatientReviewer	AppComponent	AppComponents		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/AppComponents
28	getzlab/PatientReviewer	AppComponent	__init__		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/AppComponents/__init__.py
29	getzlab/PatientReviewer	Reviewer	Reviewers		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/Reviewers
30	getzlab/PatientReviewer	Reviewer	PatientReviewer		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/Reviewers/PatientReviewer.py
31	getzlab/PatientReviewer	Reviewer	__init__		https://github.com/getzlab/PatientReviewer/blob/master/PatientReviewer/Reviewers/__init__.py
32	getzlab/MutationReviewer	Repository	getzlab/MutationReviewer		https://github.com/getzlab/MutationReviewer
33	getzlab/MutationReviewer	AppComponent	AppComponents		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents
34	getzlab/MutationReviewer	AppComponent	BamTableComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/BamTableComponent.py
35	getzlab/MutationReviewer	AppComponent	IGVJSComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/IGVJSComponent.py
36	getzlab/MutationReviewer	AppComponent	IGVLocalComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/IGVLocalComponent.py
37	getzlab/MutationReviewer	AppComponent	MutationTableComponent		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/MutationTableComponent.py
38	getzlab/MutationReviewer	AppComponent	utils		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/AppComponents/utils.py
39	getzlab/MutationReviewer	Reviewer	Reviewers		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/Reviewers
40	getzlab/MutationReviewer	Reviewer	DeprecatedMutationReviewer		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/Reviewers/DeprecatedMutationReviewer.py
41	getzlab/MutationReviewer	Reviewer	GeneralMutationReviewer		https://github.com/getzlab/MutationReviewer/blob/master/MutationReviewer/Reviewers/GeneralMutationReviewer.py
42	getzlab/PhylogicReviewer	Repository	getzlab/PhylogicReviewer	Interactive app to review Phylogic solutions and data.	https://github.com/getzlab/PhylogicReviewer
43	getzlab/PhylogicReviewer	AppComponent	AppComponents		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/AppComponents
44	getzlab/PhylogicReviewer	AppComponent	__init__		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/AppComponents/__init__.py
45	getzlab/PhylogicReviewer	Reviewer	Reviewers		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/Reviewers
46	getzlab/PhylogicReviewer	Reviewer	PhylogicReviewer		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/Reviewers/PhylogicReviewer.py
47	getzlab/PhylogicReviewer	Reviewer	__init__		https://github.com/getzlab/PhylogicReviewer/blob/master/PhylogicReviewer/Reviewers/__init__.py
